data_source_id,procedure_code_id_source,procedure_code_category_id_reference
1,1000025|~|2,1
1,760|~|2,1
1,557|~|2,1
1,1002440|~|2,1
1,1004747|~|2,1
1,742|~|2,1
1,417|~|2,1
1,1000681|~|2,1
1,418|~|2,1
1,1000682|~|2,1
1,419|~|2,1
1,1006140|~|2,1
1,1000683|~|2,1
1,1002836|~|2,1
1,1003626|~|2,1
1,127|~|2,1
1,420|~|2,1
1,421|~|2,1
1,1000165|~|2,1
1,558|~|2,1
1,560|~|2,1
1,561|~|2,1
1,1005018|~|2,1
1,146|~|2,1
1,1004331|~|2,1
1,1000691|~|2,1
1,1107|~|2,1
1,147|~|2,1
1,1000692|~|2,1
1,422|~|2,1
1,1000693|~|2,1
1,423|~|2,1
1,1000694|~|2,1
1,562|~|2,1
1,1000695|~|2,1
1,548|~|2,1
1,1000696|~|2,1
1,549|~|2,1
1,148|~|2,1
1,1000698|~|2,1
1,550|~|2,1
1,563|~|2,1
1,338|~|2,1
1,150|~|2,1
1,151|~|2,1
1,424|~|2,1
1,1001590|~|2,1
1,1001591|~|2,1
1,1001592|~|2,1
1,1001593|~|2,1
1,1001594|~|2,1
1,1001595|~|2,1
1,1003628|~|2,1
1,1003629|~|2,1
1,1003630|~|2,1
1,1003631|~|2,1
1,1003632|~|2,1
1,1002951|~|2,1
1,152|~|2,1
1,1008|~|2,1
1,153|~|2,1
1,155|~|2,1
1,1000707|~|2,1
1,1000708|~|2,1
1,709|~|2,1
1,1002603|~|2,1
1,1000709|~|2,1
1,1003633|~|2,1
1,1002573|~|2,1
1,1002837|~|2,1
1,1002838|~|2,1
1,1002839|~|2,1
1,1002840|~|2,1
1,1002841|~|2,1
1,1001906|~|2,1
1,1002843|~|2,1
1,1002579|~|2,1
1,564|~|2,1
1,1002441|~|2,1
1,1001907|~|2,1
1,1002442|~|2,1
1,1000711|~|2,1
1,157|~|2,1
1,1000712|~|2,1
1,1003035|~|2,1
1,1002443|~|2,1
1,1003327|~|2,1
1,1002444|~|2,1
1,1004745|~|2,1
1,1002445|~|2,1
1,391|~|2,1
1,1002960|~|2,1
1,1003097|~|2,1
1,158|~|2,1
1,1003892|~|2,1
1,159|~|2,1
1,1003893|~|2,1
1,1004475|~|2,1
1,1000393|~|2,1
1,392|~|2,1
1,1003988|~|2,1
1,1000394|~|2,1
1,641|~|2,1
1,1002446|~|2,1
1,1003635|~|2,1
1,1003328|~|2,5
1,1003329|~|2,5
1,1003330|~|2,1
1,1003331|~|2,5
1,1003332|~|2,1
1,1003333|~|2,5
1,1003334|~|2,1
1,1003335|~|2,5
1,1003336|~|2,5
1,1003337|~|2,5
1,1003338|~|2,1
1,1003339|~|2,5
1,1003340|~|2,1
1,1003341|~|2,5
1,1003342|~|2,1
1,1028|~|2,1
1,1002447|~|2,1
1,393|~|2,1
1,394|~|2,1
1,161|~|2,1
1,1003894|~|2,1
1,1000398|~|2,1
1,1000026|~|2,1
1,1003918|~|2,1
1,1000399|~|2,1
1,1000027|~|2,1
1,1003895|~|2,1
1,1004383|~|2,1
1,1002962|~|2,1
1,425|~|2,1
1,1003896|~|2,1
1,1004385|~|2,1
1,1000401|~|2,1
1,565|~|2,1
1,1004744|~|2,1
1,1003636|~|2,1
1,1101|~|2,1
1,1002448|~|2,1
1,162|~|2,1
1,1003897|~|2,1
1,1000403|~|2,1
1,1000028|~|2,1
1,1003898|~|2,1
1,1000404|~|2,1
1,1004743|~|2,1
1,640|~|2,1
1,1002449|~|2,1
1,1000405|~|2,1
1,1004742|~|2,1
1,163|~|2,1
1,1003899|~|2,1
1,1004382|~|2,1
1,1000406|~|2,1
1,164|~|2,1
1,1003900|~|2,1
1,1000407|~|2,1
1,1000029|~|2,1
1,1003772|~|2,1
1,1004492|~|2,1
1,1000408|~|2,1
1,479|~|2,1
1,1003901|~|2,1
1,1004110|~|2,1
1,1002589|~|2,1
1,1000409|~|2,1
1,480|~|2,1
1,1003902|~|2,1
1,1004353|~|2,1
1,1000410|~|2,1
1,1000030|~|2,1
1,165|~|2,1
1,1003903|~|2,1
1,1004366|~|2,1
1,1000412|~|2,1
1,166|~|2,1
1,1002450|~|2,1
1,1000413|~|2,1
1,566|~|2,1
1,427|~|2,1
1,1003904|~|2,1
1,1000415|~|2,1
1,481|~|2,1
1,1000416|~|2,1
1,1000031|~|2,1
1,1000417|~|2,1
1,1000032|~|2,1
1,400|~|2,1
1,1003990|~|2,1
1,402|~|2,1
1,1003989|~|2,1
1,1000419|~|2,1
1,736|~|2,1
1,1004393|~|2,1
1,1000420|~|2,1
1,737|~|2,1
1,1000421|~|2,1
1,168|~|2,1
